frame,time_sec,knee_angle_r,knee_angle_l,hip_angle_r,hip_angle_l,ankle_angle_r,ankle_angle_l,body_lean,stride_width,step_count
173,3.46,152.16157393543673,173.95516409489278,157.2757582573723,157.60175529156305,125.44027136631351,114.6909405332955,10.891950135497929,0.010084956884384155,0
174,3.48,161.96414230129335,165.1569279133373,168.16749391991368,160.12485218732024,135.9521417710528,162.14466996363103,4.570989186472243,0.0002677440643310547,0
175,3.5,149.02889760874228,166.36284713138747,158.81444604656528,166.51471480792355,179.51152821311018,159.9131038917359,0.9271125051426349,0.00500217080116272,0
176,3.52,160.2651396576847,164.01369649493697,173.1193565993253,168.37134536647565,178.48001212340404,146.82308610223882,1.6478357461845141,0.007445603609085083,0
177,3.54,162.72070775244856,174.64219645929705,176.70150037751736,171.36371341079442,177.63163906652554,161.94966858307487,1.6197081166693814,0.010102778673171997,0
178,3.56,164.5965808088565,177.7674200319656,179.9580967519212,174.10885427422696,177.43345008820793,172.00015905931397,2.360631263685681,0.011881202459335327,0
179,3.58,166.71566687433906,179.63513528492348,178.78779040898007,173.00857599292456,178.224594027052,170.92306335744166,2.85644695967644,0.010709941387176514,0
180,3.6,164.9069258681594,179.01689369602326,178.60388284308596,173.13191171180836,177.1733887288238,173.0392470590819,3.369516979478158,0.010190844535827637,0
181,3.62,166.53665472289833,178.98195604713118,176.42976425749143,173.4750175752359,176.93005126439544,169.3709531230964,3.7453263762381215,0.009910553693771362,0
182,3.64,166.6778418900074,179.9954206602019,176.40661124695723,173.21485515005955,177.46065720108712,170.5428432062043,3.6091693578186246,0.010964572429656982,0
183,3.66,168.3191360940458,177.6337449078596,175.81892101271907,173.57712117605146,173.4494011890505,179.24547782620473,3.5848082257742178,0.01171162724494934,0
184,3.68,169.1348909594211,177.99391051462104,175.51537229572983,173.41273012317464,171.64682382635252,179.35446255339585,3.4967862942321957,0.011423587799072266,1
185,3.7,170.73183221109767,178.2142667855891,174.82545456286883,173.36511882026775,169.7487385625747,178.03939793032248,3.4556728652307545,0.011285960674285889,1
186,3.72,173.8847912473178,177.84839316845495,174.22988892673908,173.4061092433607,165.07384271680198,175.75794936730054,3.338655643134277,0.010782718658447266,1
